X,Y,Z,Ex,Ey,Ez
+0,+159,+3,+4.5766e-20+4.04739e-21i,+0.000747416+6.60988e-05i,+0.0594196+0.00525486i
+0,+160,+3,+4.52762e-20+2.95047e-21i,+0.000739417+4.81848e-05i,+0.0591533+0.00385478i
+0,+161,+3,+4.47712e-20+1.87719e-21i,+0.000731169+3.06569e-05i,+0.0588591+0.00246788i
+0,+162,+3,+4.42514e-20+8.27507e-22i,+0.00072268+1.35142e-05i,+0.0585371+0.00109465i
+0,+163,+3,+4.37174e-20-1.98636e-22i,+0.000713959-3.24397e-06i,+0.0581877-0.000264383i
+0,+164,+3,+4.31697e-20-1.20129e-21i,+0.000705015-1.96186e-05i,+0.0578113-0.00160872i
+0,+165,+3,+4.26089e-20-2.18052e-21i,+0.000695857-3.56106e-05i,+0.0574082-0.00293787i
+0,+166,+3,+4.20355e-20-3.13638e-21i,+0.000686491-5.1221e-05i,+0.0569788-0.00425134i
+0,+167,+3,+4.14499e-20-4.06895e-21i,+0.000676928-6.64509e-05i,+0.0565235-0.00554865i
+0,+168,+3,+4.08527e-20-4.97828e-21i,+0.000667175-8.13015e-05i,+0.0560427-0.00682932i
+0,+169,+3,+4.02443e-20-5.86446e-21i,+0.00065724-9.57739e-05i,+0.0555368-0.00809289i
+0,+170,+3,+3.96254e-20-6.72756e-21i,+0.000647131-0.000109869i,+0.0550062-0.0093389i
+0,+171,+3,+3.89963e-20-7.56767e-21i,+0.000636858-0.000123589i,+0.0544513-0.0105669i
+0,+172,+3,+3.83576e-20-8.38488e-21i,+0.000626427-0.000136935i,+0.0538727-0.0117764i
+0,+173,+3,+3.77097e-20-9.17927e-21i,+0.000615846-0.000149909i,+0.0532707-0.0129671i
+0,+174,+3,+3.70531e-20-9.95094e-21i,+0.000605124-0.000162511i,+0.0526458-0.0141385i
+0,+175,+3,+3.63884e-20-1.07e-20i,+0.000594268-0.000174744i,+0.0519984-0.0152901i
+0,+176,+3,+3.57159e-20-1.14265e-20i,+0.000583286-0.00018661i,+0.0513291-0.0164216i
+0,+177,+3,+3.50362e-20-1.21307e-20i,+0.000572185-0.000198109i,+0.0506384-0.0175327i
+0,+178,+3,+3.43497e-20-1.28125e-20i,+0.000560973-0.000209245i,+0.0499266-0.0186228i
+0,+179,+3,+3.36569e-20-1.34722e-20i,+0.000549658-0.000220018i,+0.0491944-0.0196916i
+0,+180,+3,+3.29581e-20-1.41099e-20i,+0.000538247-0.000230432i,+0.0484422-0.0207389i
+0,+181,+3,+3.22539e-20-1.47256e-20i,+0.000526747-0.000240487i,+0.0476706-0.0217641i
+0,+182,+3,+3.15448e-20-1.53196e-20i,+0.000515165-0.000250187i,+0.0468801-0.0227671i
+0,+183,+3,+3.08311e-20-1.58919e-20i,+0.00050351-0.000259534i,+0.0460711-0.0237474i
+0,+184,+3,+3.01132e-20-1.64427e-20i,+0.000491787-0.00026853i,+0.0452444-0.0247047i
+0,+185,+3,+2.93917e-20-1.69722e-20i,+0.000480003-0.000277176i,+0.0444003-0.0256388i
+0,+186,+3,+2.86669e-20-1.74804e-20i,+0.000468166-0.000285477i,+0.0435395-0.0265494i
+0,+187,+3,+2.79393e-20-1.79677e-20i,+0.000456283-0.000293434i,+0.0426625-0.0274361i
+0,+188,+3,+2.72092e-20-1.8434e-20i,+0.00044436-0.00030105i,+0.0417698-0.0282987i
+0,+189,+3,+2.64771e-20-1.88796e-20i,+0.000432404-0.000308328i,+0.0408621-0.029137i
+0,+190,+3,+2.57434e-20-1.93047e-20i,+0.000420421-0.00031527i,+0.03994-0.0299507i
+0,+191,+3,+2.50084e-20-1.97095e-20i,+0.000408418-0.00032188i,+0.0390039-0.0307396i
+0,+192,+3,+2.42726e-20-2.0094e-20i,+0.000396401-0.000328161i,+0.0380545-0.0315034i
+0,+193,+3,+2.35363e-20-2.04586e-20i,+0.000384377-0.000334114i,+0.0370924-0.032242i
+0,+194,+3,+2.28e-20-2.08033e-20i,+0.000372352-0.000339744i,+0.0361181-0.0329552i
+0,+195,+3,+2.20639e-20-2.11285e-20i,+0.000360331-0.000345054i,+0.0351323-0.0336428i
+0,+196,+3,+2.13286e-20-2.14342e-20i,+0.000348322-0.000350047i,+0.0341356-0.0343046i
+0,+197,+3,+2.05942e-20-2.17207e-20i,+0.000336329-0.000354726i,+0.0331284-0.0349405i
+0,+198,+3,+1.98613e-20-2.19882e-20i,+0.000324359-0.000359095i,+0.0321116-0.0355504i
+0,+199,+3,+1.91301e-20-2.22369e-20i,+0.000312418-0.000363156i,+0.0310856-0.036134i
